time_s    distance_cm
0.100    14.00
0.200    13.40
0.300    13.70
0.400    13.40
0.500    13.40
0.600    13.44
0.700    13.68
0.800    13.84
0.900    13.36
1.000    12.19
1.100    13.44
1.200    11.66
1.300    14.98
1.400    13.39
1.500    10.19
1.600    9.63
1.700    7.90
1.800    8.77
1.900    6.40
2.000    6.19
2.100    5.85
2.200    4.70
2.300    4.39
2.400    5.88
2.500    5.29
2.600    8.41
2.700    9.36
2.800    9.03
2.900    5.52
3.000    4.70
3.100    6.40
3.200    5.56
3.300    6.48
3.400    8.48
3.500    9.65
3.600    9.35
3.700    11.39
3.800    12.20
3.900    13.41
4.000    14.03
4.100    14.32
4.200    14.34
4.300    15.25
4.400    15.26
4.500    15.31
4.600    14.63
4.700    13.40
4.800    13.44
4.900    11.00
5.000    10.74
5.100    11.36
5.200    11.33
5.300    10.25
5.400    8.75
5.500    10.20
5.600    6.43
5.700    6.45
5.800    4.41
5.900    4.63
6.000    5.01
6.100    4.97
6.200    4.72
6.300    6.17
6.400    7.90
6.500    5.24
6.600    6.74
6.700    7.27
6.800    13.65
6.900    9.35
7.000    10.77
7.100    11.10
7.200    13.16
7.300    14.04
7.400    15.27
7.500    20.05
7.600    16.84
7.700    18.96
7.800    19.02
7.900    19.66
8.000    21.22
8.100    20.91
8.200    20.94
8.300    20.34
8.400    20.01
8.500    19.09
8.600    19.31
8.700    19.69
8.800    14.96
8.900    13.14
9.000    12.28
9.100    12.87
9.200    10.54
9.300    8.15
9.400    10.18
9.500    7.00
9.600    7.60
9.700    5.26
9.800    5.58
9.900    3.84
10.000    2.67
10.100    4.99
10.200    2.96
10.300    3.58
10.400    5.76
10.500    5.53
10.600    7.88
10.700    14.35
10.800    10.19
10.900    13.13
11.000    16.89
11.100    16.84
11.200    18.46
11.300    18.40
11.400    19.41
11.500    17.14
11.600    16.57
11.700    15.57
11.800    14.95
11.900    12.54
12.000    11.95
12.100    14.04
12.200    7.04
12.300    7.58
12.400    6.42
12.500    5.23
12.600    7.02
12.700    6.16
12.800    5.56
12.900    6.14
13.000    7.60
13.100    7.31
13.200    9.63
13.300    11.65
